[2015-02-15 00:43:29.000000 ::1  - Unknown ] Use of undefined constant BASEURL_LOCALE - assumed 'BASEURL_LOCALE'
#2 C:\wamp\www\enolaphp\framework\core.php(195): execute_controller(Array)
#3 C:\wamp\www\enolaphp\index.php(31): require('C:\wamp\www\eno...')
#4 {main}
  thrown
----------\n[2015-02-20 20:31:47.000000 127.0.0.1  - Unknown ] A non well formed numeric value encountered
----------\n[2015-02-20 20:31:47.000000 127.0.0.1  - Error Fatal - Parse - Strict ] Uncaught exception 'PDOException' with message 'SQLSTATE[42S22]: Column not found: 1054 Unknown column 'nombre2' in 'where clause'' in C:\wamp\www\enolaphp\framework\classes\En_DataBase.php:335
Stack trace:
#0 C:\wamp\www\enolaphp\aplication\source\controllers\Index.php(78): En_DataBase->update('tag', Array)
#1 C:\wamp\www\enolaphp\framework\modules\http.php(132): Index->doGet()
#2 C:\wamp\www\enolaphp\framework\core.php(195): execute_controller(Array)
#3 C:\wamp\www\enolaphp\index.php(31): require('C:\wamp\www\eno...')
#4 {main}
  thrown
----------\n
